sensor_pressure,sensor_temperature,vibration_rms,class
11,19,0.4,0
13,21,0.5,0
15,20,0.6,0
17,22,0.5,0
19,23,0.7,0
21,24,0.8,0
23,26,0.9,0
25,25,1.0,0
27,28,1.1,0
29,27,1.0,0
31,30,1.2,0
33,31,1.3,0
35,33,1.4,0
37,32,1.5,0
39,35,1.6,0
41,36,1.8,0
43,38,1.7,0
45,37,1.9,0
47,40,2.0,0
49,41,2.1,0
76,73,6.8,1
78,75,7.0,1
80,76,7.2,1
82,78,7.4,1
84,79,7.5,1
86,81,7.7,1
88,82,7.9,1
90,84,8.0,1
92,85,8.2,1
94,87,8.4,1
96,88,8.6,1
98,90,8.8,1
100,91,9.0,1
102,93,9.2,1
104,94,9.4,1
106,96,9.6,1
108,97,9.8,1
110,99,10.0,1
112,100,10.2,1
114,102,10.4,1
